"","id","team1","team2","season","city","win_by_runs","win_by_wickets","t1ha","t2ha","t1tw","t2tw","t1twbf","t1twff","t2twbf","t2twff","team1tm","team1mw","team1wp","team1wr","team1rs","team1rspi","team1w","team1wpi","team2tm","team2mw","team2wp","team2wr","team2rs","team2rspi","team2w","team2wpi","winner"
"36",355,"Sunrisers Hyderabad","Chennai Super Kings",2013,"Chennai",0,5,0,0,1,0,1,-1,0,0,62,34,54.8387096774194,28,9303,151,364,6,131,79,60.3053435114504,52,20899,160,820,7,1
"301",356,"Kings XI Punjab","Kolkata Knight Riders",2013,"Kolkata",0,6,0,1,1,0,1,-1,0,0,134,63,47.0149253731343,71,20861,156,761,6,132,68,51.5151515151515,64,19481,148,762,6,1
"436",357,"Sunrisers Hyderabad","Rajasthan Royals",2013,"Jaipur",0,8,0,1,1,0,1,-1,0,0,62,34,54.8387096774194,28,9303,151,364,6,118,63,53.3898305084746,55,17703,151,704,6,1
"535",358,"Mumbai Indians","Royal Challengers Bangalore",2013,"Mumbai",58,0,1,0,1,0,1,-1,0,0,140,80,57.1428571428571,60,21721,156,844,7,139,70,50.3597122302158,69,21591,156,804,6,0
"307",359,"Chennai Super Kings","Kolkata Knight Riders",2013,"Chennai",14,0,0,0,0,1,0,0,-1,1,131,79,60.3053435114504,52,20899,160,820,7,132,68,51.5151515151515,64,19481,148,762,6,0
"402",360,"Delhi Daredevils","Pune Warriors",2013,"Raipur",15,0,0,0,0,1,0,0,-1,1,133,56,42.1052631578947,77,19734,149,753,6,46,12,26.0869565217391,34,6358,139,238,6,0
"423",361,"Royal Challengers Bangalore","Rajasthan Royals",2013,"Jaipur",0,4,0,1,0,1,0,0,-1,1,139,70,50.3597122302158,69,21591,156,804,6,118,63,53.3898305084746,55,17703,151,704,6,1
"192",362,"Mumbai Indians","Kings XI Punjab",2013,"Mumbai",4,0,1,0,1,0,1,-1,0,0,140,80,57.1428571428571,60,21721,156,844,7,134,63,47.0149253731343,71,20861,156,761,6,0
"379",363,"Chennai Super Kings","Pune Warriors",2013,"Pune",37,0,0,1,1,0,1,-1,0,0,131,79,60.3053435114504,52,20899,160,820,7,46,12,26.0869565217391,34,6358,139,238,6,0
"560",364,"Mumbai Indians","Sunrisers Hyderabad",2013,"Hyderabad",0,7,0,1,1,0,1,-1,0,0,140,80,57.1428571428571,60,21721,156,844,7,62,34,54.8387096774194,28,9303,151,364,6,1
"93",365,"Kolkata Knight Riders","Delhi Daredevils",2013,"Raipur",0,7,0,0,1,0,1,-1,0,0,132,68,51.5151515151515,64,19481,148,762,6,133,56,42.1052631578947,77,19734,149,753,6,1
"207",366,"Chennai Super Kings","Kings XI Punjab",2013,"Chennai",15,0,0,0,1,0,1,-1,0,0,131,79,60.3053435114504,52,20899,160,820,7,134,63,47.0149253731343,71,20861,156,761,6,0
"384",367,"Royal Challengers Bangalore","Pune Warriors",2013,"Pune",17,0,0,1,1,0,1,-1,0,0,139,70,50.3597122302158,69,21591,156,804,6,46,12,26.0869565217391,34,6358,139,238,6,0
"304",368,"Rajasthan Royals","Kolkata Knight Riders",2013,"Kolkata",0,8,0,1,1,0,1,-1,0,0,118,63,53.3898305084746,55,17703,151,704,6,132,68,51.5151515151515,64,19481,148,762,6,1
"554",369,"Delhi Daredevils","Sunrisers Hyderabad",2013,"Hyderabad",0,6,0,1,1,0,1,-1,0,0,133,56,42.1052631578947,77,19734,149,753,6,62,34,54.8387096774194,28,9303,151,364,6,1
"224",370,"Royal Challengers Bangalore","Kings XI Punjab",2013,"Bangalore",0,7,1,0,0,1,0,0,-1,1,139,70,50.3597122302158,69,21591,156,804,6,134,63,47.0149253731343,71,20861,156,761,6,1
"15",371,"Mumbai Indians","Chennai Super Kings",2013,"Mumbai",60,0,1,0,1,0,1,-1,0,0,140,80,57.1428571428571,60,21721,156,844,7,131,79,60.3053435114504,52,20899,160,820,7,0
"413",372,"Pune Warriors","Rajasthan Royals",2013,"Jaipur",0,5,0,1,1,0,1,-1,0,0,46,12,26.0869565217391,34,6358,139,238,6,118,63,53.3898305084746,55,17703,151,704,6,1
"509",373,"Sunrisers Hyderabad","Royal Challengers Bangalore",2013,"Bangalore",0,7,0,1,1,0,1,-1,0,0,62,34,54.8387096774194,28,9303,151,364,6,139,70,50.3597122302158,69,21591,156,804,6,1
"430",374,"Delhi Daredevils","Rajasthan Royals",2013,"Jaipur",0,9,0,1,1,0,1,-1,0,0,133,56,42.1052631578947,77,19734,149,753,6,118,63,53.3898305084746,55,17703,151,704,6,1
"259",375,"Mumbai Indians","Kolkata Knight Riders",2013,"Mumbai",65,0,1,0,1,0,1,-1,0,0,140,80,57.1428571428571,60,21721,156,844,7,132,68,51.5151515151515,64,19481,148,762,6,0
"567",376,"Chennai Super Kings","Sunrisers Hyderabad",2013,"Hyderabad",77,0,0,1,0,1,0,0,-1,1,131,79,60.3053435114504,52,20899,160,820,7,62,34,54.8387096774194,28,9303,151,364,6,0
"409",377,"Kings XI Punjab","Rajasthan Royals",2013,"Chandigarh",0,8,0,0,0,1,0,0,-1,1,134,63,47.0149253731343,71,20861,156,761,6,118,63,53.3898305084746,55,17703,151,704,6,1
"385",378,"Kolkata Knight Riders","Pune Warriors",2013,"Pune",46,0,0,1,1,0,1,-1,0,0,132,68,51.5151515151515,64,19481,148,762,6,46,12,26.0869565217391,34,6358,139,238,6,0
"149",379,"Royal Challengers Bangalore","Delhi Daredevils",2013,"Delhi",4,0,0,1,0,1,0,0,-1,1,139,70,50.3597122302158,69,21591,156,804,6,133,56,42.1052631578947,77,19734,149,753,6,0
"376",380,"Pune Warriors","Mumbai Indians",2013,"Pune",0,5,1,0,1,0,1,-1,0,0,46,12,26.0869565217391,34,6358,139,238,6,140,80,57.1428571428571,60,21721,156,844,7,1
"225",381,"Sunrisers Hyderabad","Kings XI Punjab",2013,"Chandigarh",30,0,0,0,0,1,0,0,-1,1,62,34,54.8387096774194,28,9303,151,364,6,134,63,47.0149253731343,71,20861,156,761,6,0
"280",382,"Royal Challengers Bangalore","Kolkata Knight Riders",2013,"Ranchi",0,5,0,0,0,1,0,0,-1,1,139,70,50.3597122302158,69,21591,156,804,6,132,68,51.5151515151515,64,19481,148,762,6,1
"442",383,"Chennai Super Kings","Rajasthan Royals",2013,"Jaipur",0,5,0,1,0,1,0,0,-1,1,131,79,60.3053435114504,52,20899,160,820,7,118,63,53.3898305084746,55,17703,151,704,6,1
"182",384,"Delhi Daredevils","Kings XI Punjab",2013,"Delhi",0,5,1,0,0,1,0,0,-1,1,133,56,42.1052631578947,77,19734,149,753,6,134,63,47.0149253731343,71,20861,156,761,6,1
"354",385,"Sunrisers Hyderabad","Mumbai Indians",2013,"Mumbai",0,7,0,1,1,0,1,-1,0,0,62,34,54.8387096774194,28,9303,151,364,6,140,80,57.1428571428571,60,21721,156,844,7,1
"274",386,"Pune Warriors","Kolkata Knight Riders",2013,"Ranchi",7,0,0,0,0,1,0,0,-1,1,46,12,26.0869565217391,34,6358,139,238,6,132,68,51.5151515151515,64,19481,148,762,6,0
"158",387,"Chennai Super Kings","Delhi Daredevils",2013,"Chennai",33,0,0,0,1,0,1,-1,0,0,131,79,60.3053435114504,52,20899,160,820,7,133,56,42.1052631578947,77,19734,149,753,6,0
"462",388,"Mumbai Indians","Rajasthan Royals",2013,"Mumbai",14,0,1,0,0,1,0,0,-1,1,140,80,57.1428571428571,60,21721,156,844,7,118,63,53.3898305084746,55,17703,151,704,6,0
"209",389,"Royal Challengers Bangalore","Kings XI Punjab",2013,"Chandigarh",0,6,0,0,0,1,0,0,-1,1,139,70,50.3597122302158,69,21591,156,804,6,134,63,47.0149253731343,71,20861,156,761,6,1
"405",390,"Sunrisers Hyderabad","Rajasthan Royals",2013,"Hyderabad",23,0,1,0,1,0,1,-1,0,0,62,34,54.8387096774194,28,9303,151,364,6,118,63,53.3898305084746,55,17703,151,704,6,0
"346",391,"Kings XI Punjab","Mumbai Indians",2013,"Dharamsala",50,0,0,0,0,1,0,0,-1,1,134,63,47.0149253731343,71,20861,156,761,6,140,80,57.1428571428571,60,21721,156,844,7,0
"152",392,"Pune Warriors","Delhi Daredevils",2013,"Pune",38,0,1,0,1,0,1,-1,0,0,46,12,26.0869565217391,34,6358,139,238,6,133,56,42.1052631578947,77,19734,149,753,6,0
"17",393,"Royal Challengers Bangalore","Chennai Super Kings",2013,"Bangalore",24,0,1,0,0,1,0,0,-1,1,139,70,50.3597122302158,69,21591,156,804,6,131,79,60.3053435114504,52,20899,160,820,7,0
"577",394,"Kolkata Knight Riders","Sunrisers Hyderabad",2013,"Hyderabad",0,5,0,1,1,0,1,-1,0,0,132,68,51.5151515151515,64,19481,148,762,6,62,34,54.8387096774194,28,9303,151,364,6,1
